epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
42,10727.7,0.61293,1.19905,0.93289,0.00878,0.19977,0.56936,0.44995,0.47886,0.40116,0.5652,0.42774,0.44793,0.33306,0.67124,1.44458,1.47138,0.01738,0,0.021882,0.007294,0.021882,0.007294,0.021882,0.007294,0.021882,0.007294
43,10975.8,0.61052,1.19425,0.93532,0.00877,0.19731,0.60532,0.42748,0.47559,0.40122,0.56598,0.40075,0.43269,0.32953,0.65879,1.46579,1.49608,0.01682,0,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228
44,11224,0.60963,1.18125,0.90833,0.00873,0.19265,0.63924,0.41405,0.47359,0.39963,0.62354,0.40404,0.45257,0.33705,0.66984,1.44367,1.51798,0.01703,0,0.021486,0.007162,0.021486,0.007162,0.021486,0.007162,0.021486,0.007162
45,11472.2,0.60658,1.1854,0.90022,0.00875,0.19057,0.60725,0.44383,0.47422,0.39991,0.60681,0.42718,0.45344,0.33462,0.6674,1.47527,1.50767,0.01708,0,0.021288,0.007096,0.021288,0.007096,0.021288,0.007096,0.021288,0.007096
46,11720.2,0.60402,1.17377,0.90233,0.00865,0.18846,0.60937,0.45231,0.48268,0.40918,0.60309,0.44562,0.46592,0.34155,0.66141,1.49458,1.48774,0.01693,0,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703
47,11968.6,0.60394,1.16639,0.89093,0.00868,0.18385,0.63201,0.42856,0.47452,0.40148,0.62446,0.41866,0.45436,0.33693,0.65993,1.43183,1.5003,0.01683,0,0.020892,0.006964,0.020892,0.006964,0.020892,0.006964,0.020892,0.006964
48,12216.5,0.59736,1.15815,0.86427,0.00851,0.18163,0.5504,0.48765,0.48217,0.40378,0.54693,0.46455,0.45855,0.33807,0.65616,1.48128,1.49895,0.01664,0,0.020694,0.006898,0.020694,0.006898,0.020694,0.006898,0.020694,0.006898
49,12464.8,0.59867,1.16467,0.87557,0.00857,0.18184,0.62496,0.42494,0.47355,0.40439,0.61877,0.40853,0.44702,0.33949,0.65309,1.46708,1.49133,0.01652,0,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832
50,12710.1,0.59076,1.14081,0.8572,0.00847,0.17861,0.57291,0.45389,0.47313,0.40346,0.56013,0.43423,0.44849,0.34235,0.64872,1.47424,1.5217,0.01656,0,0.020298,0.006766,0.020298,0.006766,0.020298,0.006766,0.020298,0.006766
51,12944.9,0.5913,1.13799,0.84185,0.00843,0.17445,0.55312,0.45943,0.46568,0.39603,0.55542,0.43261,0.44337,0.33562,0.65846,1.48006,1.51466,0.01686,0,0.0201,0.0067,0.0201,0.0067,0.0201,0.0067,0.0201,0.0067
52,13199.5,0.58978,1.14542,0.84008,0.00846,0.17299,0.53925,0.46884,0.47519,0.40055,0.53111,0.442,0.44839,0.33651,0.64982,1.50002,1.54055,0.01655,0,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634
53,13455.3,0.58546,1.12867,0.82904,0.0083,0.17054,0.62833,0.42627,0.47646,0.40089,0.6277,0.41551,0.45632,0.33924,0.65827,1.49685,1.52508,0.01688,0,0.019704,0.006568,0.019704,0.006568,0.019704,0.006568,0.019704,0.006568
54,13711.7,0.58036,1.11338,0.81796,0.00825,0.16712,0.58346,0.46941,0.47931,0.40687,0.59325,0.42853,0.45107,0.34211,0.6571,1.5132,1.51347,0.01661,0,0.019506,0.006502,0.019506,0.006502,0.019506,0.006502,0.019506,0.006502
55,13969.8,0.57549,1.10774,0.81251,0.00816,0.16597,0.58465,0.45704,0.47949,0.40782,0.56419,0.43671,0.44934,0.33849,0.65475,1.52883,1.5105,0.01659,0,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436
56,14223.7,0.57819,1.11084,0.79754,0.00816,0.16219,0.5361,0.47783,0.48297,0.41023,0.52758,0.44818,0.45084,0.3401,0.64286,1.47756,1.53372,0.01627,0,0.01911,0.00637,0.01911,0.00637,0.01911,0.00637,0.01911,0.00637
57,14480.5,0.57499,1.10514,0.78673,0.00814,0.15997,0.52603,0.47833,0.47808,0.40813,0.55563,0.43352,0.45086,0.34274,0.64808,1.50681,1.52139,0.01641,0,0.018912,0.006304,0.018912,0.006304,0.018912,0.006304,0.018912,0.006304
58,14734.6,0.57244,1.0978,0.78158,0.00811,0.16006,0.56249,0.45122,0.47415,0.40324,0.54683,0.43199,0.44745,0.33851,0.65281,1.47339,1.52289,0.01671,0,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238
59,14988,0.57003,1.09926,0.78021,0.00803,0.15808,0.61851,0.43065,0.48298,0.4122,0.61273,0.40471,0.45648,0.34385,0.63983,1.50015,1.56155,0.01619,0,0.018516,0.006172,0.018516,0.006172,0.018516,0.006172,0.018516,0.006172
60,15243,0.56877,1.08784,0.77394,0.00802,0.15684,0.50344,0.47532,0.47263,0.40182,0.48621,0.45238,0.4453,0.33291,0.63898,1.52248,1.56007,0.01622,0,0.018318,0.006106,0.018318,0.006106,0.018318,0.006106,0.018318,0.006106
61,15498,0.56503,1.08666,0.76544,0.00799,0.15359,0.60998,0.45867,0.48119,0.41,0.60327,0.42934,0.45385,0.34154,0.64318,1.51736,1.57167,0.01635,0,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604
62,15751.2,0.56027,1.07053,0.75042,0.00786,0.15072,0.54941,0.48303,0.47641,0.40701,0.52725,0.45743,0.44733,0.34022,0.64359,1.53066,1.55299,0.01621,0,0.017922,0.005974,0.017922,0.005974,0.017922,0.005974,0.017922,0.005974
63,16003.5,0.56102,1.07631,0.73776,0.00793,0.1493,0.5595,0.4752,0.48123,0.40967,0.59089,0.42385,0.4537,0.34121,0.64539,1.57546,1.56396,0.01628,0,0.017724,0.005908,0.017724,0.005908,0.017724,0.005908,0.017724,0.005908
64,16255.2,0.55647,1.0669,0.73766,0.00779,0.14603,0.59162,0.46276,0.47976,0.40887,0.56766,0.44073,0.45308,0.34106,0.64254,1.55296,1.55883,0.01627,0,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842
65,16507.6,0.55564,1.05572,0.72997,0.00787,0.1444,0.5849,0.47609,0.48608,0.41357,0.56562,0.45372,0.45234,0.34275,0.63579,1.55046,1.55665,0.01607,0,0.017328,0.005776,0.017328,0.005776,0.017328,0.005776,0.017328,0.005776
66,16761.9,0.55281,1.05602,0.72707,0.00774,0.14261,0.57612,0.46591,0.48449,0.41315,0.56207,0.44137,0.4527,0.34201,0.63623,1.54519,1.5528,0.01604,0,0.01713,0.00571,0.01713,0.00571,0.01713,0.00571,0.01713,0.00571
67,17017.5,0.55344,1.05742,0.72736,0.00774,0.14229,0.55017,0.48437,0.48513,0.41711,0.54577,0.45852,0.45123,0.34499,0.63561,1.54452,1.54782,0.01601,0,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644
68,17275.5,0.55206,1.04755,0.71756,0.00772,0.13947,0.56241,0.48112,0.48043,0.41389,0.54395,0.45762,0.45488,0.34217,0.64862,1.5655,1.54065,0.01632,0,0.016734,0.005578,0.016734,0.005578,0.016734,0.005578,0.016734,0.005578
69,17536.2,0.54543,1.038,0.70811,0.00761,0.13864,0.55932,0.46985,0.48358,0.41662,0.54633,0.44296,0.4563,0.34588,0.63931,1.58546,1.55102,0.01614,0,0.016536,0.005512,0.016536,0.005512,0.016536,0.005512,0.016536,0.005512
70,17796.6,0.54461,1.04763,0.7055,0.00763,0.13792,0.57407,0.46102,0.48254,0.41543,0.55253,0.43447,0.45126,0.3433,0.63484,1.5736,1.57382,0.01595,0,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446
71,18047.4,0.54287,1.03813,0.69977,0.00759,0.13641,0.58848,0.44408,0.48077,0.4112,0.57959,0.41388,0.44846,0.34261,0.63573,1.54246,1.57155,0.01592,0,0.01614,0.00538,0.01614,0.00538,0.01614,0.00538,0.01614,0.00538
72,18297.1,0.53815,1.03445,0.68859,0.00754,0.13426,0.55262,0.48767,0.48378,0.41298,0.55224,0.43615,0.44821,0.34168,0.63362,1.57273,1.56958,0.01597,0,0.015942,0.005314,0.015942,0.005314,0.015942,0.005314,0.015942,0.005314
73,18545.7,0.53778,1.02912,0.67442,0.00753,0.13216,0.65232,0.42277,0.48047,0.41383,0.62621,0.39915,0.44725,0.34231,0.63123,1.56828,1.57813,0.01594,0,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248
74,18793.7,0.53598,1.02174,0.67547,0.00749,0.13036,0.60652,0.42822,0.47583,0.41161,0.59084,0.40804,0.44585,0.33815,0.62554,1.56653,1.58023,0.01576,0,0.015546,0.005182,0.015546,0.005182,0.015546,0.005182,0.015546,0.005182
75,19042.1,0.53364,1.02551,0.66807,0.00742,0.1289,0.61536,0.44363,0.48578,0.42293,0.59949,0.42068,0.45757,0.35071,0.6276,1.5677,1.58505,0.01576,0,0.015348,0.005116,0.015348,0.005116,0.015348,0.005116,0.015348,0.005116
